conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,case_folded,cleaned,tokens,tokens_normalized,tokens_no_stopwords,tokens_stemmed,bobot_nilai_total,label
1906003719696576832,Mon Mar 31 00:05:23 +0000 2025,0,@antokarief Semangat ama optimisme lo aja ga cukup oi buzzer ya ekonomi tuh berantai kegagalan pemerintah bangun ekonomi yang bagus juga yang bikin lo ngerangkak terus dari jaman covid gini aja ga paham lu buzzer,1906498018121330744,,antokarief,in,jakarta,0,0,0,https://x.com/ceyanewt/status/1906498018121330744,467364295,ceyanewt,@antokarief semangat ama optimisme lo aja ga cukup oi buzzer ya ekonomi tuh berantai kegagalan pemerintah bangun ekonomi yang bagus juga yang bikin lo ngerangkak terus dari jaman covid gini aja ga paham lu buzzer,semangat ama optimisme lo aja ga cukup oi buzzer ya ekonomi tuh berantai kegagalan pemerintah bangun ekonomi yang bagus juga yang bikin lo ngerangkak terus dari jaman covid gini aja ga paham lu buzzer,"['semangat', 'ama', 'optimisme', 'lo', 'aja', 'ga', 'cukup', 'oi', 'buzzer', 'ya', 'ekonomi', 'tuh', 'berantai', 'kegagalan', 'pemerintah', 'bangun', 'ekonomi', 'yang', 'bagus', 'juga', 'yang', 'bikin', 'lo', 'ngerangkak', 'terus', 'dari', 'jaman', 'covid', 'gini', 'aja', 'ga', 'paham', 'lu', 'buzzer']","['semangat', 'sama', 'optimisme', 'kamu', 'saja', 'tidak', 'cukup', 'oi', 'buzzer', 'iya', 'ekonomi', 'itu', 'berantai', 'kegagalan', 'pemerintah', 'bangun', 'ekonomi', 'yang', 'bagus', 'juga', 'yang', 'bikin', 'kamu', 'ngerangkak', 'terus', 'dari', 'jaman', 'covid', 'begini', 'saja', 'tidak', 'paham', 'kamu', 'buzzer']","['semangat', 'optimisme', 'oi', 'buzzer', 'iya', 'ekonomi', 'berantai', 'kegagalan', 'pemerintah', 'bangun', 'ekonomi', 'bagus', 'bikin', 'ngerangkak', 'jaman', 'covid', 'paham', 'buzzer']","['semangat', 'optimisme', 'oi', 'buzzer', 'iya', 'ekonomi', 'beranta', 'gagal', 'perintah', 'bangun', 'ekonomi', 'bagus', 'bikin', 'ngerangkak', 'jaman', 'covid', 'paham', 'buzzer']",-5,negatif
1905804382555529227,Sat Mar 29 21:48:12 +0000 2025,0,@enoliska_ Di facebook ada tetangganya yang speak up kayaknya mbak nenengnya aman emang akun facebooknya aja yang ilang.. Sayang banget dah,1906101106339717452,,enoliska_,in,jakarta,0,0,0,https://x.com/ceyanewt/status/1906101106339717452,467364295,ceyanewt,@enoliska_ di facebook ada tetangganya yang speak up kayaknya mbak nenengnya aman emang akun facebooknya aja yang ilang.. sayang banget dah,di facebook ada tetangganya yang speak up kayaknya mbak nenengnya aman emang akun facebooknya aja yang ilang sayang banget dah,"['di', 'facebook', 'ada', 'tetangganya', 'yang', 'speak', 'up', 'kayaknya', 'mbak', 'nenengnya', 'aman', 'emang', 'akun', 'facebooknya', 'aja', 'yang', 'ilang', 'sayang', 'banget', 'dah']","['di', 'facebook', 'ada', 'tetangganya', 'yang', 'speak', 'up', 'kayaknya', 'mbak', 'nenengnya', 'aman', 'memang', 'akun', 'facebooknya', 'saja', 'yang', 'hilang', 'sayang', 'banget', 'deh']","['facebook', 'tetangganya', 'speak', 'up', 'kayaknya', 'mbak', 'nenengnya', 'aman', 'akun', 'facebooknya', 'hilang', 'sayang', 'banget', 'deh']","['facebook', 'tetangga', 'speak', 'up', 'kayak', 'mbak', 'nenengnya', 'aman', 'akun', 'facebooknya', 'hilang', 'sayang', 'banget', 'deh']",-3,negatif
1905570272494977165,Fri Mar 28 10:45:12 +0000 2025,0,mas mas milenial perkotaan jakartasentris yang gumunan ada petani woke,1905571869002269140,,hmblsrvantofgod,in,"Asuasu, Ghana",0,1,0,https://x.com/hmblsrvantofgod/status/1905571869002269140,1576964444932145152,hmblsrvantofgod,mas mas milenial perkotaan jakartasentris yang gumunan ada petani woke,mas mas milenial perkotaan jakartasentris yang gumunan ada petani woke,"['mas', 'mas', 'milenial', 'perkotaan', 'jakartasentris', 'yang', 'gumunan', 'ada', 'petani', 'woke']","['mas', 'mas', 'milenial', 'perkotaan', 'jakartasentris', 'yang', 'gumunan', 'ada', 'petani', 'woke']","['mas', 'mas', 'milenial', 'perkotaan', 'jakartasentris', 'gumunan', 'petani', 'woke']","['mas', 'mas', 'milenial', 'kota', 'jakartasentris', 'gumun', 'tani', 'woke']",-1,negatif
1905570272494977165,Fri Mar 28 10:43:56 +0000 2025,0,neneng pasti dengan mudah dicokok atau dibungkam. tanpa perlindungan tanpa rekan seperjuangan. selama ini dirayakan sama bocil bocil baca buku aja gak rampung sama mas mas milenial gumunan ada petani yang woke.,1905571551292129329,,hmblsrvantofgod,in,"Asuasu, Ghana",0,1,0,https://x.com/hmblsrvantofgod/status/1905571551292129329,1576964444932145152,hmblsrvantofgod,neneng pasti dengan mudah dicokok atau dibungkam. tanpa perlindungan tanpa rekan seperjuangan. selama ini dirayakan sama bocil bocil baca buku aja gak rampung sama mas mas milenial gumunan ada petani yang woke.,neneng pasti dengan mudah dicokok atau dibungkam tanpa perlindungan tanpa rekan seperjuangan selama ini dirayakan sama bocil bocil baca buku aja gak rampung sama mas mas milenial gumunan ada petani yang woke,"['neneng', 'pasti', 'dengan', 'mudah', 'dicokok', 'atau', 'dibungkam', 'tanpa', 'perlindungan', 'tanpa', 'rekan', 'seperjuangan', 'selama', 'ini', 'dirayakan', 'sama', 'bocil', 'bocil', 'baca', 'buku', 'aja', 'gak', 'rampung', 'sama', 'mas', 'mas', 'milenial', 'gumunan', 'ada', 'petani', 'yang', 'woke']","['neneng', 'pasti', 'dengan', 'mudah', 'dicokok', 'atau', 'dibungkam', 'tanpa', 'perlindungan', 'tanpa', 'rekan', 'seperjuangan', 'selama', 'ini', 'dirayakan', 'sama', 'bocil', 'bocil', 'baca', 'buku', 'saja', 'tidak', 'rampung', 'sama', 'mas', 'mas', 'milenial', 'gumunan', 'ada', 'petani', 'yang', 'woke']","['neneng', 'mudah', 'dicokok', 'dibungkam', 'perlindungan', 'rekan', 'seperjuangan', 'dirayakan', 'bocil', 'bocil', 'baca', 'buku', 'rampung', 'mas', 'mas', 'milenial', 'gumunan', 'petani', 'woke']","['neneng', 'mudah', 'cokok', 'bungkam', 'lindung', 'rekan', 'juang', 'raya', 'bocil', 'bocil', 'baca', 'buku', 'rampung', 'mas', 'mas', 'milenial', 'gumun', 'tani', 'woke']",11,positif
1905399650699686201,Fri Mar 28 02:07:05 +0000 2025,0,@reeemooo3661 Petani milenial di Papua siap memanfaatkan teknologi PSN untuk hasil yang lebih oke,1905441481697231273,,reeemooo3661,in,,0,0,0,https://x.com/wahyu_gunardi2/status/1905441481697231273,1702582266877415424,wahyu_gunardi2,@reeemooo3661 petani milenial di papua siap memanfaatkan teknologi psn untuk hasil yang lebih oke,petani milenial di papua siap memanfaatkan teknologi psn untuk hasil yang lebih oke,"['petani', 'milenial', 'di', 'papua', 'siap', 'memanfaatkan', 'teknologi', 'psn', 'untuk', 'hasil', 'yang', 'lebih', 'oke']","['petani', 'milenial', 'di', 'papua', 'siap', 'memanfaatkan', 'teknologi', 'pesan', 'untuk', 'hasil', 'yang', 'lebih', 'oke']","['petani', 'milenial', 'papua', 'memanfaatkan', 'teknologi', 'pesan', 'hasil', 'oke']","['tani', 'milenial', 'papua', 'manfaat', 'teknologi', 'pesan', 'hasil', 'oke']",9,positif
1905420710228754937,Fri Mar 28 00:44:32 +0000 2025,0,Sukses Beralih dari Petani Cabai ke Jamur Tiram Begini Kiprah Petani Milenial Asal HSS https://t.co/rEyvYAXZJA lewat @banjarmasinpost,1905420710228754937,,,in,"Banjarmasin, Kalsel",0,0,0,https://x.com/banjarmasinpost/status/1905420710228754937,65639033,banjarmasinpost,sukses beralih dari petani cabai ke jamur tiram begini kiprah petani milenial asal hss https://t.co/reyvyaxzja lewat @banjarmasinpost,sukses beralih dari petani cabai ke jamur tiram begini kiprah petani milenial asal hss lewat,"['sukses', 'beralih', 'dari', 'petani', 'cabai', 'ke', 'jamur', 'tiram', 'begini', 'kiprah', 'petani', 'milenial', 'asal', 'hss', 'lewat']","['sukses', 'beralih', 'dari', 'petani', 'cabai', 'ke', 'jamur', 'tiram', 'begini', 'kiprah', 'petani', 'milenial', 'asal', 'hss', 'lewat']","['sukses', 'beralih', 'petani', 'cabai', 'jamur', 'tiram', 'kiprah', 'petani', 'milenial', 'hss']","['sukses', 'alih', 'tani', 'cabai', 'jamur', 'tiram', 'kiprah', 'tani', 'milenial', 'hss']",6,positif
1905280937019244922,Thu Mar 27 15:29:08 +0000 2025,0,Modal buat jadi petani milenial,1905280937019244922,,,in,,0,1,0,https://x.com/kitsuvy/status/1905280937019244922,1893973293688098816,kitsuvy,modal buat jadi petani milenial,modal buat jadi petani milenial,"['modal', 'buat', 'jadi', 'petani', 'milenial']","['modal', 'buat', 'jadi', 'petani', 'milenial']","['modal', 'petani', 'milenial']","['modal', 'tani', 'milenial']",-1,negatif
1905178176126701873,Thu Mar 27 08:40:48 +0000 2025,1,Kredit ke sriteks tanpa agunan. Kredit petani milenial 1 3 trilyun (entah bodong entah fiktif) serta kredit bermasalah lainnya di bjb. @ojkindonesia dan @DediMulyadi71 Perlu langkah cepat penyelamatan @infobankbjb https://t.co/NulY54rIx6,1905178176126701873,,,in,bandung,0,0,0,https://x.com/fideldapati/status/1905178176126701873,98290687,fideldapati,kredit ke sriteks tanpa agunan. kredit petani milenial 1 3 trilyun (entah bodong entah fiktif) serta kredit bermasalah lainnya di bjb. @ojkindonesia dan @dedimulyadi71 perlu langkah cepat penyelamatan @infobankbjb https://t.co/nuly54rix6,kredit ke sriteks tanpa agunan kredit petani milenial trilyun entah bodong entah fiktif serta kredit bermasalah lainnya di bjb dan perlu langkah cepat penyelamatan,"['kredit', 'ke', 'sriteks', 'tanpa', 'agunan', 'kredit', 'petani', 'milenial', 'trilyun', 'entah', 'bodong', 'entah', 'fiktif', 'serta', 'kredit', 'bermasalah', 'lainnya', 'di', 'bjb', 'dan', 'perlu', 'langkah', 'cepat', 'penyelamatan']","['kredit', 'ke', 'sriteks', 'tanpa', 'agunan', 'kredit', 'petani', 'milenial', 'trilyun', 'entah', 'bodong', 'entah', 'fiktif', 'serta', 'kredit', 'bermasalah', 'lainnya', 'di', 'bjb', 'dan', 'perlu', 'langkah', 'cepat', 'penyelamatan']","['kredit', 'sriteks', 'agunan', 'kredit', 'petani', 'milenial', 'trilyun', 'bodong', 'fiktif', 'kredit', 'bermasalah', 'bjb', 'langkah', 'cepat', 'penyelamatan']","['kredit', 'sriteks', 'agun', 'kredit', 'tani', 'milenial', 'trilyun', 'bodong', 'fiktif', 'kredit', 'masalah', 'bjb', 'langkah', 'cepat', 'selamat']",5,positif
1904913145690546619,Wed Mar 26 15:07:40 +0000 2025,0,Tingkatkan Produksi Hingga 30 Persen Bupati Pandeglang Apreasiasi Petani Milenial https://t.co/LwbulNJjqZ,1904913145690546619,,,in,"Pandeglang, Indonesia",0,0,0,https://x.com/dpkppandeglang/status/1904913145690546619,4716748892,dpkppandeglang,tingkatkan produksi hingga 30 persen bupati pandeglang apreasiasi petani milenial https://t.co/lwbulnjjqz,tingkatkan produksi hingga persen bupati pandeglang apreasiasi petani milenial,"['tingkatkan', 'produksi', 'hingga', 'persen', 'bupati', 'pandeglang', 'apreasiasi', 'petani', 'milenial']","['tingkatkan', 'produksi', 'hingga', 'persen', 'bupati', 'pandeglang', 'apreasiasi', 'petani', 'milenial']","['tingkatkan', 'produksi', 'persen', 'bupati', 'pandeglang', 'apreasiasi', 'petani', 'milenial']","['tingkat', 'produksi', 'persen', 'bupati', 'pandeglang', 'apreasiasi', 'tani', 'milenial']",3,positif
1904746626419224834,Wed Mar 26 04:05:58 +0000 2025,1,Sementara itu bantuan handsprayer akan disalurkan kepada 15 Kelompok Tani Petani Milenial dan Kelompok Wanita Tani.,1904746626419224834,,,in,Indonesia Raya,0,0,0,https://x.com/Partai_Gerindra/status/1904746626419224834,381680827,Partai_Gerindra,sementara itu bantuan handsprayer akan disalurkan kepada 15 kelompok tani petani milenial dan kelompok wanita tani.,sementara itu bantuan handsprayer akan disalurkan kepada kelompok tani petani milenial dan kelompok wanita tani,"['sementara', 'itu', 'bantuan', 'handsprayer', 'akan', 'disalurkan', 'kepada', 'kelompok', 'tani', 'petani', 'milenial', 'dan', 'kelompok', 'wanita', 'tani']","['sementara', 'itu', 'bantuan', 'handsprayer', 'akan', 'disalurkan', 'kepada', 'kelompok', 'tani', 'petani', 'milenial', 'dan', 'kelompok', 'wanita', 'tani']","['bantuan', 'handsprayer', 'disalurkan', 'kelompok', 'tani', 'petani', 'milenial', 'kelompok', 'wanita', 'tani']","['bantu', 'handsprayer', 'salur', 'kelompok', 'tani', 'tani', 'milenial', 'kelompok', 'wanita', 'tani']",-11,negatif
